"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CRYBG1.5",7.50568673241683e-11,-2.03267627148568,0.109,0.342,2.51725721631796e-06,"6","CRYBG1"
"RSRC2",7.69208367546045e-11,-1.25755675635583,0.149,0.412,2.57977102307592e-06,"6","RSRC2"
"MPHOSPH8",1.18781416670791e-10,-1.97170554692836,0.08,0.321,3.983691152305e-06,"6","MPHOSPH8"
"SRSF10",1.37983658037042e-10,-2.12493250925344,0.091,0.314,4.62769592324631e-06,"6","SRSF10"
"MED10",1.64424106228069e-10,-1.82930646110684,0.046,0.272,5.51445567467699e-06,"6","MED10"
"HLA-DQA2.1",1.65026351020622e-10,2.56412595154534,0.331,0.169,5.53465376052963e-06,"6","HLA-DQA2"
"RAC2.3",1.65744652389514e-10,-1.29793558092735,0.109,0.364,5.55874415183952e-06,"6","RAC2"
"RBM8A.1",1.80683418860922e-10,-1.26424697174473,0.2,0.459,6.0597605017576e-06,"6","RBM8A"
"TSTD1.3",2.06481891618788e-10,-2.53590007793334,0.046,0.264,6.92498968111092e-06,"6","TSTD1"
"GABPB1-AS1.3",2.16899004611425e-10,-2.47200377143361,0.057,0.276,7.27435881665799e-06,"6","GABPB1-AS1"
"CBLB.4",2.4002691885822e-10,-2.40216211939031,0.051,0.272,8.05002280466699e-06,"6","CBLB"
"OGFRL1",3.01297418472956e-10,1.7343472404199,0.269,0.113,1.0104912820746e-05,"6","OGFRL1"
"TNRC6B",3.92224565093492e-10,-2.03704526881204,0.097,0.323,1.31544274641056e-05,"6","TNRC6B"
"PCSK7.1",4.29249198193721e-10,-2.50911597886259,0.051,0.264,1.4396159609021e-05,"6","PCSK7"
"LAP3.1",5.19041974221907e-10,1.57970858434729,0.314,0.149,1.74076297314543e-05,"6","LAP3"
"FAM177A1.4",5.42297338574636e-10,-1.37428908236664,0.131,0.373,1.81875681411161e-05,"6","FAM177A1"
"ZFAND5.2",5.73699854540505e-10,1.98284811006175,0.491,0.364,1.92407457215795e-05,"6","ZFAND5"
"DDX6.1",7.15036599324446e-10,-1.27922394772689,0.097,0.33,2.39808974681433e-05,"6","DDX6"
"ITGB2.4",7.95541232515684e-10,1.2950070134003,0.52,0.359,2.6680861856111e-05,"6","ITGB2"
"MYADM.1",8.57320482188674e-10,-1.10326632359335,0.246,0.497,2.87528143316437e-05,"6","MYADM"
"CCSER2.4",9.59808478791111e-10,-2.39244155351345,0.051,0.259,3.21900567616963e-05,"6","CCSER2"
"SOCS1.2",1.15375412454211e-09,-1.4647551628104,0.08,0.3,3.86946058288933e-05,"6","SOCS1"
"MAF",1.26554779305516e-09,2.00342818602896,0.314,0.162,4.24439418834839e-05,"6","MAF"
"MT-ND6.2",1.35343020572364e-09,-1.15332598153436,0.12,0.344,4.53913422395593e-05,"6","MT-ND6"
"GPBP1.2",1.39754549448366e-09,-1.02839987087678,0.211,0.454,4.68708807939931e-05,"6","GPBP1"
"PDE7A.3",1.53364758873293e-09,-2.59371025365892,0.051,0.253,5.1435472830925e-05,"6","PDE7A"
"KLF4.2",1.54476786158022e-09,1.41313387932642,0.354,0.184,5.18084245416776e-05,"6","KLF4"
"MBNL1",1.67424347913351e-09,-1.02759742576403,0.257,0.499,5.61507778031796e-05,"6","MBNL1"
"ARPC5",1.69557730660514e-09,1.40614914476219,0.48,0.335,5.68662717089231e-05,"6","ARPC5"
"CORO1A.2",1.71729240792125e-09,-1.00937884927409,0.217,0.452,5.75945527768629e-05,"6","CORO1A"
"SEPT6.2",1.81543639261988e-09,-1.97982658422283,0.074,0.286,6.08861057356855e-05,"6","SEPT6"
"PRDM1.4",2.43942532553037e-09,-1.76017771218658,0.063,0.272,8.18134465676375e-05,"6","PRDM1"
"KANSL1.2",2.53985677981816e-09,-1.54139221582821,0.057,0.26,8.51817166815415e-05,"6","KANSL1"
"MECP2.1",2.57110229940489e-09,-2.22217215675114,0.051,0.25,8.62296289174413e-05,"6","MECP2"
"NFKB1.1",3.57298428027653e-09,1.92575027971054,0.354,0.203,0.000119830746791914,"6","NFKB1"
"PCM1",4.13038006092853e-09,-1.95837214050871,0.103,0.31,0.000138524686483421,"6","PCM1"
"ODC1.3",4.18611604714396e-09,-1.77857188492453,0.057,0.263,0.000140393959989114,"6","ODC1"
"YWHAQ",4.66010407139539e-09,-1.01915733062602,0.131,0.363,0.000156290570346459,"6","YWHAQ"
"TMEM243.2",5.20069139117676e-09,-1.66417365062646,0.069,0.274,0.000174420787877286,"6","TMEM243"
"SNHG7.1",5.25159784755915e-09,-1.28272770579884,0.069,0.281,0.000176128088611439,"6","SNHG7"
"GTF3A.1",5.70812396291692e-09,-1.16060625882355,0.097,0.324,0.000191439061468308,"6","GTF3A"
"RNF115.3",6.639503693571e-09,-1.69051432949396,0.057,0.256,0.000222675674874984,"6","RNF115"
"CRIP1.3",6.65677246617517e-09,-2.12875445436896,0.063,0.254,0.000223254834970583,"6","CRIP1"
"RBMX",6.7581258649921e-09,-1.07068260481831,0.2,0.429,0.000226654025260105,"6","RBMX"
"NR4A3.1",8.04787749150735e-09,1.98301278387879,0.286,0.144,0.000269909715310174,"6","NR4A3"
"CDKN1A.1",8.07735421525526e-09,1.49470976145372,0.326,0.171,0.000270898305671231,"6","CDKN1A"
"NCF1.1",8.64188361238456e-09,2.03671853291344,0.251,0.117,0.000289831492592153,"6","NCF1"
"TMF1.1",1.28510505483601e-08,-1.52080617201271,0.074,0.273,0.000430998533290902,"6","TMF1"
"PTGER4.4",1.31288518335357e-08,-1.63665141042578,0.069,0.264,0.000440315432793119,"6","PTGER4"
"LSM7.1",1.32048339972899e-08,-1.16164041911258,0.103,0.309,0.00044286372260111,"6","LSM7"
